"remember, tems doesn't export lat-lon correctly when you export to .tab",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"remember, col names need to be correct, but order is not important",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Mobile,TIME,LONGITUDE,LATITUDE,SC_1,RSCP_1,EcIo_1,SC_2,RSCP_2,EcIo_2,SC_3,RSCP_3,EcIo_3,SC_4,RSCP_4,EcIo_4,SC_5,RSCP_5,EcIo_5,SC_6,RSCP_6,EcIo_6,SC_7,RSCP_7,EcIo_7,SC_8,RSCP_8,EcIo_8,SC_9,RSCP_9,EcIo_9,SC_10,RSCP_10,EcIo_10,SC_11,RSCP_11,EcIo_11,SC_12,RSCP_12,EcIo_12,SC_13,RSCP_13,EcIo_13,SC_14,RSCP_14,EcIo_14,SC_15,RSCP_15,EcIo_15,SC_16,RSCP_16,EcIo_16,SC_17,RSCP_17,EcIo_17,SC_18,RSCP_18,EcIo_18,SC_19,RSCP_19,EcIo_19,SC_20,RSCP_20,EcIo_20
,,2588,144.9534204,-37.81484441,442,-68.646,-5.646,450,-70.042,-7.042,434,-70.97,-7.97,150,-81.856,-18.856,280,-82.685,-19.685,200,-82.731,-19.731,138,-82.746,-19.746,308,-82.918,-19.918,462,-82.96,-19.96,478,-82.986,-19.986,134,-83.007,-20.007,160,-83.023,-20.023,222,-83.071,-20.071,12,-83.141,-20.141,244,-83.26,-20.26,284,-83.266,-20.266,270,-83.277,-20.277,504,-83.304,-20.304,50,-83.315,-20.315,66,-83.343,-20.343
,,3318,144.8496437,-37.76103495,366,-66.976,-2.976,206,-70.223,-6.223,382,-78.836,-14.836,214,-80.728,-16.728,96,-83.28,-19.28,508,-83.388,-19.388,448,-83.613,-19.613,188,-83.798,-19.798,436,-83.813,-19.813,278,-83.933,-19.933,138,-84.007,-20.007,136,-84.061,-20.061,244,-84.376,-20.376,378,-84.437,-20.437,346,-84.443,-20.443,440,-84.448,-20.448,470,-84.465,-20.465,502,-84.465,-20.465,452,-84.499,-20.499,236,-84.527,-20.527
,,59,144.8622717,-37.77223552,220,-69.255,-3.255,236,-73.429,-7.429,374,-74.536,-8.536,228,-83.024,-17.024,264,-85.368,-19.368,48,-85.487,-19.487,348,-85.818,-19.818,206,-85.844,-19.844,244,-85.876,-19.876,164,-86.029,-20.029,326,-86.039,-20.039,132,-86.082,-20.082,116,-86.315,-20.315,382,-86.343,-20.343,288,-86.359,-20.359,156,-86.431,-20.431,384,-86.448,-20.448,366,-86.465,-20.465,468,-86.465,-20.465,42,-86.493,-20.493
,,1434,144.9715808,-37.80404936,450,-69.045,-5.045,324,-70.082,-6.082,316,-73.156,-9.156,318,-77.343,-13.343,434,-82.333,-18.333,36,-83.902,-19.902,438,-83.981,-19.981,6,-84.093,-20.093,362,-84.13,-20.13,480,-84.173,-20.173,366,-84.179,-20.179,422,-84.217,-20.217,486,-84.255,-20.255,326,-84.26,-20.26,306,-84.332,-20.332,122,-84.343,-20.343,432,-84.348,-20.348,298,-84.37,-20.37,116,-84.42,-20.42,460,-84.426,-20.426
,,3624,144.9071996,-37.77404918,166,-60.065,-3.065,158,-61.391,-4.391,122,-75.29,-18.29,148,-75.604,-18.604,316,-75.968,-18.968,338,-76.12,-19.12,366,-76.226,-19.226,112,-76.452,-19.452,266,-76.623,-19.623,448,-76.674,-19.674,268,-76.71,-19.71,108,-76.72,-19.72,194,-76.767,-19.767,98,-76.844,-19.844,342,-76.928,-19.928,202,-76.976,-19.976,426,-76.986,-19.986,278,-77.018,-20.018,290,-77.018,-20.018,392,-77.018,-20.018
,,2338,144.8869861,-37.79665821,366,-58.59,-1.59,206,-68.525,-11.525,382,-68.563,-11.563,374,-72.879,-15.879,144,-75.926,-18.926,254,-76.265,-19.265,448,-76.344,-19.344,168,-76.659,-19.659,470,-76.762,-19.762,348,-76.844,-19.844,292,-76.986,-19.986,106,-76.997,-19.997,506,-77.114,-20.114,80,-77.12,-20.12,484,-77.173,-20.173,256,-77.211,-20.211,346,-77.222,-20.222,4,-77.299,-20.299,252,-77.299,-20.299,126,-77.31,-20.31
,,1491,144.954741,-37.82073209,206,-71.215,-1.215,294,-83.328,-13.328,366,-84.703,-14.703,504,-89.433,-19.433,36,-89.462,-19.462,86,-89.918,-19.918,266,-89.918,-19.918,304,-90.12,-20.12,236,-90.141,-20.141,268,-90.152,-20.152,300,-90.19,-20.19,360,-90.222,-20.222,374,-90.239,-20.239,510,-90.26,-20.26,202,-90.266,-20.266,410,-90.359,-20.359,64,-90.365,-20.365,118,-90.448,-20.448,450,-90.476,-20.476,192,-90.51,-20.51
,,2578,144.9709213,-37.76066536,206,-63.278,-3.278,366,-67.578,-7.578,382,-70.171,-10.171,374,-74.88,-14.88,124,-78.801,-18.801,268,-79.358,-19.358,384,-79.923,-19.923,130,-80.125,-20.125,266,-80.326,-20.326,450,-80.398,-20.398,464,-80.404,-20.404,218,-80.409,-20.409,344,-80.42,-20.42,492,-80.459,-20.459,472,-80.499,-20.499,202,-80.527,-20.527,404,-80.532,-20.532,236,-80.623,-20.623,346,-80.657,-20.657,394,-80.709,-20.709
,,4264,144.9701854,-37.78904369,434,-60.163,-1.163,442,-70.245,-11.245,50,-77.386,-18.386,416,-77.755,-18.755,460,-78.082,-19.082,376,-78.373,-19.373,232,-78.448,-19.448,122,-78.457,-19.457,230,-78.568,-19.568,68,-78.669,-19.669,312,-78.69,-19.69,166,-78.918,-19.918,272,-78.944,-19.944,104,-79.141,-20.141,212,-79.141,-20.141,426,-79.217,-20.217,168,-79.233,-20.233,290,-79.26,-20.26,292,-79.348,-20.348,332,-79.459,-20.459
,,1540,144.9030569,-37.76470278,388,-53.575,-1.575,392,-59.004,-7.004,400,-68.093,-16.093,456,-70.801,-18.801,94,-70.931,-18.931,462,-71.265,-19.265,14,-71.393,-19.393,382,-71.695,-19.695,420,-71.782,-19.782,226,-71.787,-19.787,470,-71.793,-19.793,80,-71.933,-19.933,390,-71.939,-19.939,506,-71.97,-19.97,70,-71.992,-19.992,72,-71.997,-19.997,212,-72.087,-20.087,240,-72.146,-20.146,334,-72.168,-20.168,188,-72.228,-20.228
,,1228,144.8486741,-37.80985312,318,-67.199,-4.199,374,-68.741,-5.741,442,-71.278,-8.278,206,-80.393,-17.393,326,-81.329,-18.329,450,-82.418,-19.418,446,-82.497,-19.497,434,-82.798,-19.798,320,-82.824,-19.824,388,-82.944,-19.944,62,-82.976,-19.976,24,-83.146,-20.146,268,-83.146,-20.146,348,-83.179,-20.179,18,-83.195,-20.195,462,-83.201,-20.201,392,-83.255,-20.255,328,-83.288,-20.288,124,-83.299,-20.299,506,-83.381,-20.381
,,683,144.8444605,-37.80018826,318,-63.958,-3.958,374,-65.743,-5.743,450,-72.12,-12.12,326,-77.676,-17.676,322,-77.749,-17.749,372,-79.912,-19.912,196,-79.923,-19.923,268,-80.023,-20.023,334,-80.039,-20.039,158,-80.109,-20.109,486,-80.179,-20.179,448,-80.233,-20.233,298,-80.26,-20.26,432,-80.277,-20.277,362,-80.365,-20.365,34,-80.51,-20.51,180,-80.51,-20.51,282,-80.51,-20.51,392,-80.51,-20.51,294,-80.521,-20.521
,,2288,144.8844949,-37.8069034,366,-65.001,-4.001,382,-67.614,-6.614,374,-70.462,-9.462,206,-71.083,-10.083,138,-80.918,-19.918,404,-80.944,-19.944,452,-80.986,-19.986,84,-81.103,-20.103,470,-81.103,-20.103,208,-81.141,-20.141,60,-81.163,-20.163,254,-81.239,-20.239,362,-81.244,-20.244,166,-81.26,-20.26,462,-81.326,-20.326,146,-81.365,-20.365,286,-81.398,-20.398,122,-81.42,-20.42,94,-81.443,-20.443,504,-81.482,-20.482
,,839,144.8333432,-37.81962791,374,-61.193,-1.193,382,-71.041,-11.041,52,-78.479,-18.479,204,-78.922,-18.922,408,-79.393,-19.393,192,-79.413,-19.413,88,-79.457,-19.457,240,-79.7,-19.7,366,-79.772,-19.772,464,-79.886,-19.886,134,-79.923,-19.923,282,-79.939,-19.939,112,-79.944,-19.944,106,-79.949,-19.949,150,-80.098,-20.098,304,-80.152,-20.152,418,-80.168,-20.168,132,-80.195,-20.195,416,-80.299,-20.299,454,-80.315,-20.315
,,4238,144.9581148,-37.8188396,150,-54.67,-1.67,166,-61.82,-8.82,158,-63.173,-10.173,132,-71.81,-18.81,22,-72.197,-19.197,454,-72.217,-19.217,286,-72.344,-19.344,126,-72.398,-19.398,452,-72.818,-19.818,52,-72.824,-19.824,250,-72.955,-19.955,134,-73.114,-20.114,26,-73.201,-20.201,256,-73.282,-20.282,430,-73.337,-20.337,262,-73.348,-20.348,54,-73.415,-20.415,254,-73.426,-20.426,344,-73.465,-20.465,96,-73.476,-20.476
,,2285,144.8253521,-37.80360623,366,-59.236,-3.236,382,-62.168,-6.168,206,-65.93,-9.93,374,-71.584,-15.584,240,-75.767,-19.767,448,-75.928,-19.928,346,-75.992,-19.992,310,-76.098,-20.098,380,-76.12,-20.12,316,-76.163,-20.163,36,-76.337,-20.337,416,-76.337,-20.337,488,-76.376,-20.376,52,-76.381,-20.381,252,-76.437,-20.437,14,-76.465,-20.465,128,-76.476,-20.476,126,-76.487,-20.487,390,-76.555,-20.555,176,-76.578,-20.578
,,3112,144.9442739,-37.81212568,388,-64.242,-3.242,392,-66.16,-5.16,400,-78.307,-17.307,470,-79.838,-18.838,366,-80.324,-19.324,206,-80.398,-19.398,472,-80.507,-19.507,26,-80.533,-19.532,126,-80.553,-19.553,278,-80.568,-19.568,38,-80.634,-19.634,346,-80.669,-19.669,90,-80.679,-19.679,386,-80.715,-19.715,336,-80.751,-19.751,212,-80.881,-19.881,48,-80.965,-19.965,364,-80.97,-19.97,432,-80.986,-19.986,202,-81.061,-20.061
,,1386,144.9077086,-37.78823908,442,-73.401,-1.401,318,-82.595,-10.595,450,-87.719,-15.719,434,-89.583,-17.583,166,-89.873,-17.873,208,-91.006,-19.006,300,-91.285,-19.285,244,-91.349,-19.349,282,-91.448,-19.448,398,-91.487,-19.487,382,-91.654,-19.654,228,-91.803,-19.803,196,-91.871,-19.871,422,-91.907,-19.907,246,-91.997,-19.997,128,-92.055,-20.055,198,-92.125,-20.125,478,-92.141,-20.141,44,-92.146,-20.146,98,-92.173,-20.173
,,4905,144.8367818,-37.77394899,166,-80.265,-4.265,150,-84.07,-8.07,96,-86.921,-10.921,88,-92.103,-16.103,392,-92.364,-16.364,158,-93.218,-17.218,448,-95.762,-19.762,168,-96.023,-20.023,408,-96.071,-20.071,12,-96.13,-20.13,146,-96.195,-20.195,284,-96.304,-20.304,86,-96.31,-20.31,66,-96.326,-20.326,200,-96.359,-20.359,384,-96.404,-20.404,118,-96.42,-20.42,160,-96.454,-20.454,496,-96.476,-20.476,94,-96.493,-20.493
,,1341,144.8804905,-37.80140186,366,-48.657,-0.657,226,-66.194,-18.194,470,-66.663,-18.663,316,-66.778,-18.778,340,-67.159,-19.159,174,-67.217,-19.217,374,-67.398,-19.398,346,-67.413,-19.413,392,-67.746,-19.746,424,-67.756,-19.756,194,-67.881,-19.881,500,-67.891,-19.891,140,-67.897,-19.897,416,-67.97,-19.97,130,-67.992,-19.992,188,-68.023,-20.023,468,-68.211,-20.211,112,-68.271,-20.271,60,-68.282,-20.282,2,-68.31,-20.31
,,2180,144.8403781,-37.80598003,316,-65.249,-2.249,332,-71.376,-8.376,324,-72.91,-9.91,392,-79.558,-16.558,236,-82.178,-19.178,494,-82.26,-19.261,22,-82.368,-19.368,362,-82.623,-19.623,418,-82.654,-19.654,404,-83.013,-20.013,374,-83.039,-20.039,52,-83.087,-20.087,166,-83.087,-20.087,300,-83.211,-20.211,486,-83.233,-20.233,390,-83.277,-20.277,206,-83.37,-20.37,216,-83.415,-20.415,472,-83.437,-20.437,58,-83.515,-20.515
,,4578,144.9144162,-37.79036821,166,-72.601,-1.601,158,-82.535,-11.535,96,-86.458,-15.458,284,-88.591,-17.591,392,-88.998,-17.998,150,-89.156,-18.156,396,-90.654,-19.654,450,-90.654,-19.654,266,-90.829,-19.829,348,-90.907,-19.907,362,-90.939,-19.939,12,-90.981,-19.981,148,-91.029,-20.029,388,-91.029,-20.029,410,-91.029,-20.029,288,-91.055,-20.055,210,-91.077,-20.077,276,-91.093,-20.093,214,-91.114,-20.114,76,-91.195,-20.195
,,5662,144.8709514,-37.80713937,96,-69.218,-3.218,88,-74.143,-8.143,382,-84.686,-18.686,92,-85.106,-19.106,418,-85.433,-19.433,190,-85.824,-19.824,66,-85.829,-19.829,442,-85.96,-19.96,294,-86.029,-20.029,84,-86.039,-20.039,268,-86.42,-20.42,258,-86.431,-20.431,336,-86.431,-20.431,30,-86.471,-20.471,396,-86.482,-20.482,438,-86.493,-20.493,136,-86.515,-20.515,314,-86.521,-20.521,32,-86.538,-20.538,376,-86.538,-20.538
,,3537,144.9770765,-37.8006842,434,-59.074,-3.074,450,-60.071,-4.071,8,-74.126,-18.126,138,-74.745,-18.745,462,-74.997,-18.997,200,-75.28,-19.28,196,-75.334,-19.334,456,-75.438,-19.438,120,-75.482,-19.482,50,-75.578,-19.578,354,-75.654,-19.654,18,-75.756,-19.756,382,-75.803,-19.803,376,-75.813,-19.813,240,-75.949,-19.949,12,-76.007,-20.007,306,-76.023,-20.023,210,-76.066,-20.066,206,-76.19,-20.19,270,-76.19,-20.19
,,1559,144.9542164,-37.77941546,316,-62.99,-4.99,392,-63.609,-5.609,332,-67.035,-9.035,400,-71.813,-13.813,324,-75.615,-17.615,358,-77.13,-19.13,184,-77.563,-19.563,314,-77.808,-19.808,206,-77.834,-19.834,502,-78.109,-20.109,328,-78.157,-20.157,308,-78.173,-20.173,140,-78.239,-20.239,464,-78.266,-20.266,360,-78.321,-20.321,494,-78.354,-20.354,384,-78.365,-20.365,388,-78.376,-20.376,344,-78.404,-20.404,366,-78.448,-20.448
,,1940,144.82663,-37.80120255,408,-60.731,-1.731,400,-69.651,-10.651,388,-70.216,-11.216,340,-76.99,-17.99,392,-77.479,-18.479,500,-77.736,-18.736,386,-78.558,-19.558,90,-78.563,-19.563,194,-78.573,-19.573,334,-78.598,-19.598,110,-78.628,-19.628,106,-78.649,-19.649,138,-78.674,-19.674,460,-78.674,-19.674,182,-78.72,-19.72,18,-78.844,-19.844,324,-78.897,-19.897,180,-78.965,-19.965,216,-78.965,-19.965,344,-79.023,-20.023
,,708,144.9632015,-37.7875126,332,-61.479,-3.479,256,-65.1,-7.1,400,-73.182,-15.182,388,-76.591,-18.591,324,-76.903,-18.903,316,-77.226,-19.226,504,-77.583,-19.583,318,-77.593,-19.593,404,-77.685,-19.685,374,-78.045,-20.045,284,-78.082,-20.082,164,-78.103,-20.103,168,-78.109,-20.109,180,-78.13,-20.13,210,-78.146,-20.146,350,-78.217,-20.217,344,-78.288,-20.288,248,-78.293,-20.293,220,-78.315,-20.315,148,-78.354,-20.354
,,5961,144.8893769,-37.80824688,80,-68.57,-2.57,96,-74.994,-8.994,88,-80.166,-14.166,78,-85.383,-19.383,342,-85.563,-19.563,6,-85.726,-19.726,124,-85.756,-19.756,420,-85.881,-19.881,196,-86.002,-20.002,506,-86.039,-20.039,84,-86.071,-20.071,134,-86.206,-20.206,416,-86.222,-20.222,330,-86.244,-20.244,70,-86.271,-20.271,426,-86.293,-20.293,154,-86.315,-20.315,108,-86.321,-20.321,20,-86.37,-20.37,382,-86.426,-20.426
,,4586,144.8805715,-37.78732061,434,-68.924,-1.924,88,-84.206,-17.206,192,-84.393,-17.393,150,-85.207,-18.207,450,-85.559,-18.559,4,-85.833,-18.833,316,-85.852,-18.852,134,-86.28,-19.28,324,-86.358,-19.358,184,-86.452,-19.452,230,-86.452,-19.452,354,-86.477,-19.477,376,-86.497,-19.497,440,-86.522,-19.522,386,-86.533,-19.532,380,-86.583,-19.583,22,-86.808,-19.808,158,-86.818,-19.818,122,-86.85,-19.85,270,-86.96,-19.96
,,5823,144.8304835,-37.82889202,96,-69.063,-3.063,88,-77.507,-11.507,340,-80.662,-14.662,382,-81.986,-15.986,428,-84.492,-18.492,268,-84.501,-18.501,396,-85.309,-19.309,40,-85.368,-19.368,486,-85.808,-19.808,232,-85.824,-19.824,156,-85.834,-19.834,458,-85.96,-19.96,346,-85.997,-19.997,114,-86.029,-20.029,110,-86.071,-20.071,198,-86.315,-20.315,418,-86.332,-20.332,286,-86.337,-20.337,146,-86.354,-20.354,390,-86.409,-20.409
,,794,144.8840143,-37.81143815,318,-49.793,-0.793,326,-67.722,-18.722,268,-67.964,-18.964,372,-68.14,-19.14,450,-68.168,-19.168,114,-68.86,-19.86,38,-68.876,-19.876,200,-68.955,-19.955,156,-68.97,-19.97,334,-68.986,-19.986,146,-69.071,-20.071,500,-69.125,-20.125,452,-69.13,-20.13,464,-69.141,-20.141,80,-69.195,-20.195,284,-69.337,-20.337,428,-69.443,-20.443,290,-69.515,-20.515,154,-69.521,-20.521,320,-69.538,-20.538
,,2231,144.8571404,-37.81282351,442,-77.717,-4.717,374,-78.808,-5.808,382,-86.095,-13.095,434,-87.043,-14.043,366,-87.481,-14.481,52,-91.346,-18.346,318,-91.764,-18.764,126,-91.847,-18.847,66,-92.457,-19.457,268,-92.649,-19.649,480,-92.844,-19.844,14,-92.855,-19.855,412,-92.933,-19.933,408,-93.029,-20.029,114,-93.13,-20.13,452,-93.146,-20.146,38,-93.152,-20.152,278,-93.163,-20.163,32,-93.179,-20.179,384,-93.184,-20.184
,,2135,144.9386464,-37.83258827,332,-65.706,-4.706,324,-66.711,-5.711,316,-67.288,-6.288,392,-75.665,-14.665,400,-79.316,-18.316,258,-79.443,-18.443,260,-80.368,-19.368,390,-80.403,-19.403,122,-80.685,-19.685,404,-81.029,-20.029,454,-81.034,-20.034,486,-81.136,-20.136,510,-81.184,-20.184,358,-81.25,-20.25,212,-81.271,-20.271,150,-81.326,-20.326,292,-81.387,-20.387,266,-81.409,-20.409,158,-81.499,-20.499,52,-81.504,-20.504
,,3704,144.9404886,-37.78893065,166,-56.524,-1.524,158,-63.61,-8.61,434,-73.704,-18.704,266,-73.954,-18.954,150,-74.428,-19.428,22,-74.533,-19.532,248,-74.573,-19.573,284,-74.726,-19.726,342,-74.751,-19.751,298,-74.829,-19.829,110,-74.871,-19.871,450,-74.891,-19.891,334,-74.907,-19.907,76,-74.918,-19.918,108,-74.955,-19.955,48,-75.093,-20.093,252,-75.12,-20.12,362,-75.19,-20.19,128,-75.195,-20.195,234,-75.217,-20.217
,,370,144.9326328,-37.79845297,310,-87.116,-8.116,220,-87.15,-8.15,366,-88.354,-9.354,228,-88.811,-9.811,294,-91.041,-12.041,374,-93.81,-14.81,382,-96.836,-17.836,110,-98.829,-19.829,360,-98.96,-19.96,368,-99.013,-20.013,186,-99.045,-20.045,344,-99.179,-20.179,46,-99.239,-20.239,168,-99.282,-20.282,490,-99.304,-20.304,270,-99.365,-20.365,314,-99.376,-20.376,510,-99.448,-20.448,498,-99.487,-20.487,204,-99.493,-20.493
,,566,144.9362809,-37.82868229,310,-57.621,-2.621,294,-61.719,-6.719,434,-73.95,-18.95,282,-74.03,-19.03,128,-74.159,-19.159,432,-74.251,-19.251,400,-74.563,-19.563,182,-74.787,-19.787,372,-74.981,-19.981,134,-75.066,-20.066,464,-75.071,-20.071,194,-75.087,-20.087,146,-75.222,-20.222,290,-75.255,-20.255,166,-75.42,-20.42,112,-75.437,-20.437,502,-75.448,-20.448,258,-75.459,-20.459,334,-75.476,-20.476,490,-75.504,-20.504
,,2259,144.914797,-37.81269264,206,-82.447,-2.447,188,-87.312,-7.312,366,-93.311,-13.311,172,-97.571,-17.571,294,-99.011,-19.011,410,-99.448,-19.448,198,-99.736,-19.736,318,-99.818,-19.818,56,-100.002,-20.002,180,-100.023,-20.023,510,-100.05,-20.05,454,-100.082,-20.082,360,-100.103,-20.103,256,-100.12,-20.12,444,-100.13,-20.13,186,-100.157,-20.157,268,-100.157,-20.157,296,-100.168,-20.168,434,-100.228,-20.228,162,-100.282,-20.282
,,2345,144.8620038,-37.76052842,366,-57.312,-1.312,206,-67.519,-11.519,382,-69.626,-13.626,374,-72.076,-16.076,486,-74.465,-18.465,348,-74.787,-18.787,254,-75.001,-19.001,126,-75.568,-19.568,60,-75.588,-19.588,192,-75.664,-19.664,296,-75.918,-19.918,470,-75.976,-19.976,314,-76.002,-20.002,300,-76.05,-20.05,424,-76.05,-20.05,20,-76.055,-20.055,432,-76.082,-20.082,346,-76.146,-20.146,240,-76.184,-20.184,144,-76.304,-20.304
,,5974,144.8211509,-37.79087318,96,-68.302,-5.302,80,-68.397,-5.397,88,-76.845,-13.845,428,-82.077,-19.077,268,-82.664,-19.664,258,-82.813,-19.813,312,-82.891,-19.891,84,-83.288,-20.288,192,-83.304,-20.304,460,-83.31,-20.31,380,-83.326,-20.326,92,-83.359,-20.359,396,-83.409,-20.409,364,-83.448,-20.448,250,-83.459,-20.459,306,-83.499,-20.499,122,-83.504,-20.504,148,-83.51,-20.51,36,-83.527,-20.527,284,-83.544,-20.544
,,6109,144.8277318,-37.81128503,96,-67.069,-2.069,80,-72.068,-7.068,88,-84.457,-19.457,376,-84.583,-19.583,104,-84.715,-19.715,136,-84.891,-19.891,238,-85.023,-20.023,456,-85.071,-20.071,264,-85.087,-20.087,274,-85.146,-20.146,420,-85.152,-20.152,22,-85.157,-20.157,44,-85.168,-20.168,64,-85.211,-20.211,268,-85.222,-20.222,352,-85.381,-20.381,130,-85.426,-20.426,134,-85.431,-20.431,176,-85.431,-20.431,338,-85.437,-20.437
,,6080,144.8438228,-37.79655589,96,-62.23,-1.23,80,-72.372,-11.372,88,-78.648,-17.648,396,-79.532,-18.532,390,-80.217,-19.217,12,-80.231,-19.231,48,-80.246,-19.246,384,-80.798,-19.798,94,-80.86,-19.86,266,-80.86,-19.86,140,-80.928,-19.928,430,-81.141,-20.141,14,-81.179,-20.179,26,-81.19,-20.19,268,-81.201,-20.201,102,-81.266,-20.266,374,-81.326,-20.326,404,-81.359,-20.359,72,-81.415,-20.415,92,-81.431,-20.431
,,3604,144.8281556,-37.79615957,382,-54.654,-0.654,270,-72.987,-18.987,240,-73.309,-19.309,288,-73.398,-19.398,422,-73.568,-19.568,8,-73.72,-19.72,274,-73.777,-19.777,440,-73.808,-19.808,4,-73.97,-19.97,292,-73.986,-19.986,310,-74.045,-20.045,88,-74.114,-20.114,338,-74.179,-20.179,452,-74.25,-20.25,2,-74.271,-20.271,360,-74.282,-20.282,158,-74.354,-20.354,396,-74.393,-20.393,18,-74.409,-20.409,456,-74.415,-20.415
,,4574,144.9677474,-37.78089306,434,-81.565,-2.565,88,-93.408,-14.408,192,-94.6,-15.6,316,-95.591,-16.591,450,-95.897,-16.897,442,-96.563,-17.563,150,-96.898,-17.898,158,-97.181,-18.181,382,-97.439,-18.439,324,-98.193,-19.193,134,-98.583,-19.583,4,-98.649,-19.649,22,-98.912,-19.912,38,-98.96,-19.96,332,-99.066,-20.066,386,-99.141,-20.141,292,-99.233,-20.233,354,-99.244,-20.244,290,-99.282,-20.282,230,-99.288,-20.288
,,5925,144.9795915,-37.81413488,96,-56.17,-1.17,88,-66.105,-11.105,80,-71.253,-16.253,396,-73.559,-18.559,92,-74.393,-19.393,376,-74.538,-19.538,266,-74.593,-19.593,354,-74.603,-19.603,274,-74.808,-19.808,292,-74.944,-19.944,176,-74.965,-19.965,94,-75.002,-20.002,34,-75.136,-20.136,312,-75.195,-20.195,502,-75.228,-20.228,258,-75.26,-20.26,170,-75.299,-20.299,86,-75.499,-20.499,336,-75.499,-20.499,268,-75.532,-20.532
,,4301,144.9783904,-37.82897833,434,-52.593,-0.593,270,-69.44,-17.44,90,-70.109,-18.109,38,-70.577,-18.577,310,-70.577,-18.577,190,-70.645,-18.645,408,-70.713,-18.713,166,-70.814,-18.814,122,-70.912,-18.912,28,-70.922,-18.922,230,-70.968,-18.968,300,-71.14,-19.14,132,-71.197,-19.197,480,-71.319,-19.319,290,-71.578,-19.578,20,-71.608,-19.608,442,-71.705,-19.705,308,-71.798,-19.798,428,-71.923,-19.923,430,-71.928,-19.928
,,1851,144.8664917,-37.82347643,392,-69.832,-4.832,332,-70.438,-5.438,400,-76.643,-11.643,316,-77.284,-12.284,388,-79.213,-14.213,166,-83.51,-18.51,436,-84.782,-19.782,254,-84.902,-19.902,14,-84.933,-19.933,262,-84.986,-19.986,74,-85.045,-20.045,422,-85.109,-20.109,324,-85.201,-20.201,314,-85.222,-20.222,418,-85.26,-20.26,426,-85.266,-20.266,152,-85.365,-20.365,384,-85.437,-20.437,158,-85.459,-20.459,64,-85.465,-20.465
,,5461,144.9492744,-37.8124595,88,-53.46,-0.46,48,-71.041,-18.041,50,-71.316,-18.316,502,-71.47,-18.47,76,-72.222,-19.222,18,-72.423,-19.423,488,-72.487,-19.487,134,-72.492,-19.492,24,-72.538,-19.538,374,-72.628,-19.628,58,-72.634,-19.634,478,-72.72,-19.72,104,-72.803,-19.803,124,-72.939,-19.939,258,-72.992,-19.992,94,-73.114,-20.114,242,-73.152,-20.152,306,-73.233,-20.233,248,-73.282,-20.282,2,-73.321,-20.321
,,3219,144.9216683,-37.80362592,382,-53.423,-0.423,270,-71.645,-18.645,310,-72.144,-19.144,420,-72.29,-19.29,500,-72.368,-19.368,94,-72.403,-19.403,88,-72.418,-19.418,484,-72.85,-19.85,236,-72.86,-19.86,300,-73.013,-20.013,70,-73.071,-20.071,330,-73.071,-20.071,146,-73.082,-20.082,184,-73.152,-20.152,118,-73.179,-20.179,390,-73.184,-20.184,412,-73.217,-20.217,402,-73.222,-20.222,134,-73.271,-20.271,356,-73.277,-20.277
,,1051,144.8487559,-37.80886965,318,-67.262,-2.262,374,-73.72,-8.72,442,-74.521,-9.521,326,-79.993,-14.993,434,-83.474,-18.474,388,-84.659,-19.659,432,-85.13,-20.13,174,-85.195,-20.195,124,-85.244,-20.244,60,-85.271,-20.271,206,-85.293,-20.293,268,-85.437,-20.437,100,-85.448,-20.448,146,-85.459,-20.459,444,-85.465,-20.465,392,-85.471,-20.471,142,-85.476,-20.476,456,-85.476,-20.476,138,-85.499,-20.499,336,-85.499,-20.499
,,126,144.9671581,-37.78799913,326,-70.634,-1.634,318,-81.416,-12.416,66,-87.727,-18.727,306,-87.856,-18.856,200,-88.736,-19.736,266,-88.756,-19.756,292,-88.756,-19.756,460,-88.829,-19.829,70,-88.871,-19.871,216,-88.907,-19.907,274,-88.949,-19.949,170,-88.986,-19.986,500,-89.013,-20.013,364,-89.077,-20.077,48,-89.109,-20.109,206,-89.141,-20.141,116,-89.168,-20.168,324,-89.25,-20.25,476,-89.277,-20.277,156,-89.31,-20.31
,,3498,144.8761493,-37.82757753,382,-58.015,-1.015,366,-71.863,-14.863,442,-75.65,-18.65,26,-75.926,-18.926,440,-76.222,-19.222,396,-76.418,-19.418,90,-76.452,-19.452,330,-76.573,-19.573,252,-76.598,-19.598,500,-76.72,-19.72,412,-76.751,-19.751,250,-76.772,-19.772,394,-76.881,-19.881,422,-76.902,-19.902,292,-76.928,-19.928,402,-77.157,-20.157,198,-77.168,-20.168,242,-77.19,-20.19,146,-77.244,-20.244,270,-77.244,-20.244
